"Reference","Value","Qty","Mfr. No","DNP","Exclude from BOM","Exclude from Board"
"C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C18,C20,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43","0.1uF","31","SR215E104MAR","","",""
"L1","33uF","1","SBC2-330-112","","",""
"C1","39p","1","RDE5C1H390J0P1H03B","","",""
"C21","0.01uF","1","RDE5C1H103J1S1H3A","","",""
"C16","47uF","1","MAL214256479E3","","",""
"C22,C23,C24,C25","1.0 uF","4","FK28X5R1E105K","","",""
"C17,C19","1.0uF","2","FG28X7R1E105KRT06","","",""
"C3,C5","470uF","2","ESK477M6R3AE3AA","","",""
"C2","4u7","1","ECE-A1CKN4R7I","","",""
"C44,C45","220uF","2","ECA-0JHG221B","","",""
"R5","33","1","CF18JT1R00","","",""
"R3,R7,R8","1k5","3","CF18JT1K50","","",""
"R6","1k","1","CF18JT1K00","","",""
"R2","10","1","CF18JT10R0","","",""
"R10,R11","10k","2","CF18JT10K0","","",""
"R4","100k","1","CF18JT10K0","","",""
"R1","220k","1","CF18JT220K","","",""
"R9","470","1","CF18JT470R","","",""
"SP1","AT-1224-TWT-R","1","AT-1224-TWT-R","","",""
"Y1","18,432MHz","1","AB-18.432MHZ-B2","","",""
"RN2","10k","1","4609X-101-103LF","","",""
"RN3","10k","1","4608X-101-103FLF","","",""
"RN1","10k","1","4605X-101-103LF","","",""
"JP2,JP3,JP4,JP6","Jumper_3_Bridged12","4","22-28-4030","","",""
"JP1","Jumper_3_Bridged23","1","22-28-4030","","",""
"J1","+5V/5A","1","694106301002","","",""
"D4","DISK","1","3RDL-S","","",""
"D3","+5VP","1","3RDL-S","","",""
"D2","HALT","1","3RDL-S","","",""
"D5","RUN","1","3GDL-S ","","",""
"U29","SST39SF010","1","","","",""
"U28","AS6C4008-55PCN","1","","","",""
"U25,U27","74LS32","2","","","",""
"U24","74LS00","1","","","",""
"U23","74LS138","1","","","",""
"U22","74HC374","1","","","",""
"U21","MAX232","1","","","",""
"U20","8251","1","","","",""
"U19","8259A","1","","","",""
"U18","8253","1","","","",""
"U17","74LS390","1","","","",""
"U16","74LS240","1","","","",""
"U15","74LS244","1","","","",""
"U13","74LS243","1","","","",""
"U11,U12,U14","74LS245","3","","","",""
"U10","C96ABC","1","","","",""
"U9","TC7660H","1","","","",""
"U7","LT1109A","1","","","",""
"U5","8080A","1","","","",""
"U4","74LS74","1","","","",""
"U3","74LS04","1","","","",""
"U2,U6","74LS125","2","","","",""
"U1,U30","74LS08","2","","","",""
"SW1","RESET","1","","","",""
"Q2","PN2222A","1","","","",""
"Q1","IRF4905LPBF","1","","","",""
"JP5","Bank0/Bank1","1","","","",""
"J4","RS232","1","","","",""
"J3","Conn_01x07","1","","","",""
"J2","SPEAKER","1","","","",""
"IC2","8228","1","","","",""
"IC1","8224","1","","","",""
"D6","1N5818","1","","","",""
"D1","1N4148","1","","","",""
